沙门氏菌病	食物中毒
根	植物器官
肾石病	结石病
飞节内肿	跗节肉肿
清白	清白
维护健康组织	健康保险
欧亚山茱萸	鸡足
竞技	赛
擦亮剂	配制品
刺蝽科	节肢动物科
心压塞	填塞
台币	块
英石	重量单位
汇款	报酬
冬季香薄荷	香薄荷
粘膜疹	出疹
流泪	新陈代谢
炊具	厨房道具
田鼠	田鼠
软骨瘤	良性肿瘤
眼球干燥症	干燥
椰子	棕榈科植物
折射率	比例
黑夜恐怖症	单纯恐怖症
青鼬	貂
招待所	房屋
问题	不确定
鹤形鸟	涉禽类
唾液淀粉酶	淀粉酶
后果	结果
振荡	自然过程
篦	装置
皮肤癌	癌
重合	沉积
树形图	平面图形
欧洲木莓	复盆子
卤蕨属	蕨属
金凤	被子植物
单体性	染色体畸变
盲蝽属	节肢动物属
草藤	野豌豆
海参科	棘皮动物科
耀眼豆	耀花豆
草蛉虫	草蛉
速度控制器	控制器
螫刺	刺
煤气厂	职场
粗灰泥	石膏
硬骨鱼	硬骨鱼
欧姆	阻力单位
卜德氏病	肺结核
中心钻头	钻头
虎狮	大猫
追船鱼	鲦鱼
设得兰牧羊犬	牧羊犬
缆索	绳子
鞋子	鞋
床上用品	布质蒙皮
分裂果	水果
信噪比	比例
一折	定量
齿状叶	叶子
石竹病	植物病
动关节	脱臼
杠杆锁	锁
甜点心匙	调羹
辅助道路	地方街道
马赛双层布	衣料
印花法	设计
裸体	赤裸裸
除鲑的以外的几种鱼中任一种的幼鱼	幼鱼
钝角三角形	三角形
神经母细胞瘤	恶性肿瘤
嫁妆	赠品
叶猴	狭鼻类的猿
山荆子	野苹果
问卷	表格
腭裂	生理缺陷
锁	紧固件
领年金者	受益人
前驱	临时相关
女冒险家	冒险者
三氯硝基甲烷	化合物
棕色鼠耳蝠	蝙蝠
锌缺乏	营养缺乏病
配克	英国容量单位
海鸟	水鸟
摇篮车	童车
单倍性	状况
针织物	衣服
集会	集合
溪红点鲑	鳟
反应物	化学药品
金粉蕨属	蕨属
贝鲁卡鲸	海豚
波美拉尼亚狗	绒毛狗
传染病	特定事件
消磁	除去磁性
头孢噻肟	头孢霉菌素
麦蛾	衣蛾
霰弹原料	合金
蓄电池充电器	装置
代谢性酸中毒	酸毒症
能力	等级
感冒药	抗组胺剂
武装	仪表
庸鲽	比目鱼
端接	接合处
裸露	赤裸裸
银色宽胶布	胶带
自割	消除
热消散	致冷
起爆	爆裂
乳香脂	天然树脂
无头亚目	反常
第十七	排列
枯叶蛾科	节肢动物科
碘化酪氨酸	氨基酸
粉斑螟属	节肢动物属
羊角蕨属	蕨属
衰减	降低
轨道马车	电车
架子	骨架
圣母升天节	弥撒日
比利牛斯大狗	狗
英国谍犬	谍犬
金刚砂	矿质
缎木	树
头状突起	膨胀
洗剂	治疗法
灰浆	悬浮液
炮艇	船
鹰石首鱼	石首鱼科的鱼
赛点	比分
小环蝴蝶	蝴蝶
螳蛉	脉翅目昆虫
非洲野驴	野驴
排泄	排出
东盟	协会
檐壁	建筑装饰
畸形瘤	肿瘤
曲柄	手持工具
化学反应器	设备
坏死溶解	溶菌作用
一倍半的工资	报酬率
税款留置权	税务扣押权
斑蝶属	节肢动物属
黑线鳕	鳕科的鱼
动脉粥样硬化	小动脉硬化
汗液	分泌物
番茄酱瓶	瓶子
铁线蕨科	蕨类植物
连理草	藤本植物
调制解调器	电子设备
神经衰弱	神经衰弱
穗叶远志	远志
黄水晶	石英
悲哀	消沉
鸟笼面具	捕手面罩
集体安全	和平
风气	气氛
猎虎	剑齿虎
滑石	矿质
姬蜂	膜翅目昆虫
晚宴服	夜礼服
晚宴服	女长服
三	数字
病毒性肝炎	肝炎
航空工程师	技师
气氛	状态
狐狸皮	皮
电脑恐惧症	单纯恐怖症
门闩	门闩
机械熨烫件	烫过的衣服
美国东部菊科植物	矮灌木
单纯疱疹	疱疹
纪念	赞同
覆盖材料	建筑物料
涂漆层	涂层
涂漆层	颜料
进餐时间	某种事件发生的时刻
蒲包花属	海盘车单子叶植物属
顺序数	数
包括	状态
热带病的一种	病理状态
阿诺德氏畸形	畸形
鱼胶	畜产品
鱼胶	黏胶
子宫肌层炎	炎症
纪念碑	结构
洋筋骨草	麦夏枯
空空导弹	运载火箭
咖啡因	生物碱
骶麻	局部麻醉
烟管斗	集装箱
景气	幸运
半胱氨酸	胺酸
充血	症状
屈光参差	眼睛状态
临界状态	紧要关头
颔	面部轮廓
并吞	编入
十八世纪六十年代	十年间
休息车厢	自动道车
草稿纸	记事本
建筑工程学	技术
预算赤字	逆差
澳洲原住民	澳洲人
细菌凝块	生物进程
血质不调	恶液质
家庭式分娩法	生产
骚动不安	情绪状态
强直性昏厥	睡眠过度
万克	公制重量单位
衰落	退化
一份食物	无穷小量
增生	发育不良
辣椒素	化学刺激物
毛发角化病	角质疣
鲻	鲈形亚目鱼
十美金纸币	钞票
褶痕	角形
雌虎	虎
补助金	资助
数字上的一致	语法上的一致
杂色布	衣料
烧焦	烧伤
黄鳍短须黄鱼	石首鱼
葵叶大黄	大黄
环尾狐猴	狐猴
家庭主妇	老婆
燧石	燧石
科伊狗	郊狼
马鞭	马鞭
穿衣镜	镜子
药蕨属	蕨属
刺	突出部分
灰蝶属	节肢动物属
软骨骨瘤	良性肿瘤
再沉积	沉积
田鳖	水蝽
容易化	状态
矢量	变量
抗病毒药	药物
虱病	侵染
粗针	手持工具
辅助存储器	存储设备
医患关系	业务关系
蚧总科昆虫	同翅类昆虫
阉牛	未阉割的公牛
荧光素	染色剂
荧光素	吸收指标
金属箔	金属薄片
缅因龙虾	龙螯虾
切特鲁姆	不丹货币单位
警戒状态	预备
重获股份	股票
记名证券	单据
叶状柄	叶柄
阶段	阶段
旅行汽车	车
苯基	化学族
金衡制单位	重量单位
马缨丹属	有毒植物
唱诗区	场地
计算机制图	图案
高帽	帽子
满	状态
医疗器械	仪表
苏仿木	木材
躺倚	椅子
学习者	灵魂
阿米巴病	原生性感染
补充马	骑乘马
水平仪	记录器
著名	显著
耳饰	首饰
胶版誊写机	复印机
烟草花叶病	花叶病
长裙	裙子
反分化	顺应
裂叶金莲花	旱金莲属植物
风景绘画	流派
小纤维	纤维
脯氨酸	胺酸
好名声	好名声
反式脂肪酸	脂肪酸
额头	面部轮廓
泌乳	新陈代谢
橡胶树	被子植物
俄亥俄七叶树	猴板栗
隔离	隔离
鲈科之鱼	海鲈
后挡板	钢板
糙苏属	海盘车单子叶植物属
小型装饰桌巾	亚麻织物
黄寄生	冬青树
阴离子化合物	化合物
大钢琴	钢琴
暑期补习班	学期
瞎鼠	臼齿动物
沉降电极	装置
兔子木的果实	水果
乳痂	皮肤炎
猎刀	刀子
机枪	自动火器
留意	注重
加拿大皂荚	树
自燃	着火
米象	象鼻虫之类
肠激酶	酶
除数	数
鬣羚	羊羚
土耳其式长袍	斗篷
游泳	消遣
西藏小狗	狗的一种
可再生资源	自然资源
光通量	辐射通量
确信	相信
阿尔贡金	阿耳冈昆人
里急后重	痉挛
海狸皮大礼帽	皮帽
轧齿边	边缘
咖啡疫病	枯萎病
布列塔尼獚犬	西班牙猎犬
虐待者	罪犯
英国容量单位	液量单位
英国容量单位	量干物的干量
短路	接触
弯脉蕨属	蕨属
小王冠	王冠
批准者	当局
疾病模仿	症
拟熊蜂属	节肢动物属
皮带扣	搭钩
长臂虾	对虾
蚋科	节肢动物科
电疗机	医疗器械
黑暗	照明度
艺术老师	老师
非导体	物资
皮肤擦除术	消除
时间常数	间隙
重点	重要地位
美国紫荆	被子植物
间接核分裂	细胞分裂
鞋袜	衣服
炭精电弧	弧光灯
美高鳍	石首鱼
粗暴行为	骚乱
六带犰狳	犰狳
假蝇钩鱼竿	钓竿
百姓	民
淡水笠螺科	软体动物科
半履带车	军用车辆
播种时期	阶段
级别	顺序
肉蝇属	节肢动物属
玛伦牧羊犬	比利时牧羊犬
乳菇	伞菌
礼品店	店铺
狗拉的小车	敞篷两轮车
空袭警报	警报
嵌插骨折	骨折
小兔子	兔子
火箭发射装置	火力装备
空调设备	冷却方法
皮带	环状物
运算符号	映射
农奴身份	奴隶身份
脚刹车	闸
多面手	能手
树脂	天然树脂
垒高拼装玩具	玩具
骨折	负伤
肾盂积水	病理
布伦海姆狗	英国小獚犬
磁道	道路
贬值纸币	钱
美国液体单位	液量单位
雇佣杀手的钱	报酬
氨基比林	镇痛药
赡养费	报酬
症状	根据
果蝇属	节肢动物属
天线	电力设备
鸟蛤科	软体动物科
指导路线	规则
氯苯	溶剂
尿道下裂	反常
小麦瘿蚊属	节肢动物属
束带	箍
直根	根
噬菌作用	新陈代谢
胎儿监测器	监视器
硼硅酸盐	盐
出厂价格	价钱
不明飞行物	飞机
坐椅	家具
开放婚姻	结婚生活
骨焦油	动物油
酰化作用	化学方法
裂纹骨折	骨折
随从	帮手
子弹带	腰带
佛焰苞	苞片
头足纲动物	软体动物
存款证	债务证券
空头支票	支票
杏仁	核果
自身调节	生物进程
采掘	挖掘的洞
肥大	发育不良
樗蚕蛾	大蚕蛾
牛羊油	动物油
安全舱口	舱门
剑齿蕨	耳蕨
过滤器	装置
生存	生活
帽式绷带	绷带
刚毛衬衣	衬衫
淋巴线肿	症状
长尾鼬	鼬
糖果店	行业
拍卖行	商行
护理学副学士	大专文凭
五面体	多面体
胍那苄	降压药
生物危险	健康危害
掌状叶	复叶
经济租金	赢利
股票回购	购得物
五加科灌木或乔木	灌木
菲涅耳透镜	镜片
钺	斧子
丛毛麝香兰	麝香兰
8字形	节
盐酸氟西泮	抗焦虑药
触觉障碍	病理状态
轻便双轮马车	马车
候车室	等候室
肥皂鱼	鮨
石棉	闪石
叶蜡石	矿质
劈成碎片	破坏
海笋属	软体动物属
技师	艺术家
鹿角	角
钢丝绒	磨蚀剂
铺饰用布料	装备
铺饰用布料	地板蒙布
每分钟转数	率
根攀植物	攀缘植物
翻车鱼	翻车鱼
订价	要价
人格障碍	神经病
利尿药物	麻醉药
飞檐托饰	隅撑
急性舌炎	舌炎
双侧肺炎	大叶性肺炎
同学会	重聚
任期	期限
住所	房屋
花店	店铺
黄花梨	树
寂静时间	间歇
电路图	电子设备
黑颈长脚鹬	黑翅长脚鹬
蕃茄天蛾	天蛾科之蛾
红花火焰草	红瓦松
阿富汗猎犬	猎狗
未完成体动词	持续时态
磁黄铁矿	矿质
鲦鱼	鲈形亚目鱼
视物变形症	视觉障碍
离子交换	自然过程
日本樱花	青肤樱
上位关系	语义关系
筛管	维管组织
设计	装饰品
法定货币	通货
乐曲改编者	音乐家
附属担保物	担保物权
城堡	防御工事
自动电话	电话机
同化作用	消化
活结领带	领带
碘氯羟喹	杀菌剂
撒尿	撒尿
连贯表意不能	脑病
虫胶	畜产品
美洲飞鼠属	灰鼠
膀胱炎	泌尿道感染
用餐区域	场地
折光正常	状态
东部棉尾兔	棉尾兔
计算机技术	艺术品
死亡的节日	宗教节日
矮凳	凳子
龋齿	衰变
碳	化学元素
南方裸尾犰狳	犰狳
龙舌掌	漠境植物
抗代谢药	抗肿瘤药
医疗基金	资金
蓼萍草	水生植物
安全帽	钢盔
非洲青猴	长尾猴
黑眼眶	挫伤
驼毛呢	衣料
弹性组织变性	生理状态
黑背心小丑鱼	葵鱼
录像	录制品
钝化	自然过程
滤光器	过滤器
法定价格	规则
俱乐部会所	更常指大而气派的建筑
美洲铜色灰蝶	铜色灰蝶
皮革用防水油	牛脂
氰酸	酸类
胡蜂	黄蜂
钒	金属元素
行李车厢	自动道车
钟表机械	机械装置
双层床	床
执行者	组织
缅分	缅甸货币单位
柯卡因	可卡因
月历年度	年
褥草	物资
纪念柱	结构
扇椰子	扇形棕榈
印度历的7月	印度教历的月
孑孓	幼虫
火警报警器	警报系统
腕木	棍
长圆形	平面图形
肺病治疗	反常
印度历的1月	印度教历的月
桶	容器
群	聚结
沙鼠	臼齿动物
弹道飞弹	运载火箭
辅锯箱	手持工具
硅酸盐	盐
海星	棘皮动物
平行四边形	四边形
呼叫中心	中心点
子宫收缩	肌肉收缩
责任	人际关系
联系	联合
头巾	方头巾
种外进化	进化
美洲黄栌	黄栌
租期	阶段
地高辛	洋地黄苷
地面材料	建筑物料
监狱	牢房
推定信托	默示信托
剂量	估计量
尖音符	重音符号
蚝卵	幼畜
铊	金属元素
泡腾	自然过程
记名公债	记名证券
并立	存在
突然迸发	突然发病
防毒程序	程序
弧度	角度
正十二面体	正多面体
贴现	费用
智力比较	相比
涨潮	阶段
蛋白尿症	症状
饰贝属	软体动物属
摆脱	豁免
篱槭	槭树
前灯	光源
通过论证宣传	推广
多价螯合作用	化学方法
样子	模样
漩涡	圆形
苕条	灌木胡枝子
铂黑	触媒
大西洋旗鱼	旗鱼
心形曲线	外摆线
海茄苳属	海盘车单子叶植物属
亚麻毛织品	衣料
美玉	结晶
毫弧度	角度
衣柜	家具
达克特	硬币
黑狐	欧洲红狐
贝他铁	铁
起爆雷管	雷管
乌毛蕨属	蕨属
自反性	数学关系
自反性	逻辑联系
瑞典生铁	铸铁
火蚁	蚂蚁
用旧的衣服	衣服
商品菜园	花园
铜版画	雕版画
凯-弗二氏环	症状
射线照相	照相
修剪	首饰
男裤前面的褶	口盖
爪子	足
谎话	谎话
果肉	植物组织
伞干顶榈	扇形棕榈
谴责	批评
迷你裙	裙子
多巴胺	单胺类神经递质
整枝	整理
颈损伤症候群	综合症
维生设备	设备
阳萎	不育
猴子	灵长类的动物
心不在焉	入神
亚非语系	自然语言
酚	有机化合物
脱靴器	装置
胶原酶	酶
癔病	神经过敏症
香柠檬	橙树
宽边软帽	帽子
果糖尿	糖尿病之一种
酒精	酒精
藤架	骨架
钻孔工具	钻头
苯并二嗪	抗焦虑药
窨井	开口或小孔
药旋花树脂	天然树脂
显微光度计	密度计
鲔鱼	食用鱼类
鲔鱼	鲭亚目鱼
动产	私有财产
声音恐怖	单纯恐怖症
慢性淋巴细胞白血病	慢性白血病
脑出血	出血
侧褶蜥	蛇蜥
起重机	工具
红叶病	植物病
伽马酸	酸类
蓝晶	绿宝石
英镑	英国货币单位
大犰狳	犰狳
驾驶室	隔间
银行本票	支票
宫内避孕器	避孕药
电载体	电力设备
水土流失	腐蚀
绘画	版画工艺
褪落	生物进程
折旧费	费用
安静的天气	平静的天气
图书馆罚款	罚金
黄花烟草	烟草叶
猎鸟	野味
壁炉墙	墙壁
氢吗啡酮	镇痛药
纤维板之一种	纤维板
猪	猪
富有冒险性的事	威胁
心理学者	科学工作者
翮羽	鸟类羽毛
自我保险	保险
毒蛾	毛虫
混杂	集合
立体弧度	角度
新生儿死亡率	死亡率
吞咽痛	苦痛
全息图	相片
橄榄香皂	肥皂
第八十	排列
视觉性失语症	失语症
石头钻孔器	钻头
干槽症	炎症
秋星尺蠖属	节肢动物属
大旋角羚羊	条纹羚
硫镁矾	矿质
行李	框子
长嘴半蹼鹬	鹬
海边山黧豆	马豆草
块	货币单位
煤气灯	灯
夜蛾	衣蛾
乳头水肿	浮肿
寡妇授予产	财产
短曲	独唱曲
一级烧伤	烧伤
同僚	合伙人
大量的资产	资本
分数	有理数
显性遗传病	遗传病
坦坡橙	橙树
胰腺癌	癌
叶片	叶子
缺血性中风	中风
缺血性中风	局部缺血
清算账目	登记表
地窖	楼层
蚁酸	酸类
角膜虹膜炎	炎症
防雨工作服	短上衣
颈卵器	植物器官
金融	管理
修正后税款申报书	退税申请
成双	增多
等边六边形	六角形
奥美拉唑	碱质
假书	赝品
倭黑猩猩	黑猩猩
焦耳	能量单位
糠醛	醛
糠醛	植物产品
紧握	影响
湖红点鲑	鳟
精髓	蓬勃的生气
绝望	窘境
阿仑膦酸钠	药物
形态形成	生长
北瓶鼻鲸	喙鲸
铁线虫	幼虫
雕像	雕塑
畸形	痛苦
巴比土酸	酸类
不存在	不存在
药品中毒	生理状态
腰布	缠腰带
紫穗槐	灌木
小房子	房屋
后甲板	甲板
高压政治	尽力
古代史	记录
新来的人	到达者
对话	谈话
非洲弓弦大麻	虎尾兰麻
实物模型	模拟
超高速	速率
银焊料	焊料
尿酸血症	症状
尿酸血症	血液病
棘形红细胞症	血液病
钱财	大量的资产
拦截机	强击机
舌头	器官
轿子	轿
不正常经闭	闭经
停顿	间歇
马力	电力单位
质渐进性坏死	皮肤病
第四胃	胃
紧迫	逆境
立方公里	公制容量单位
磷蛋白质	蛋白质
胃食管反流	逆流的过程
鼠耳蝠	小蝙蝠
美洲旱獭	旱獭
一种出租汽车	计程车
磺酸盐	盐
太平洋海象	海象
炸弹	炸弹
补贴	补助金
一价酸	酸类
铽	金属元素
磁区	电脑记忆单位
建筑用漆	颜料
金路易	硬币
白蛾属	节肢动物属
篱笆	藩篱
征兆	线索
莲座型叶丛	叶子
精索静脉曲张	膨胀延伸
接受精神分析的人	病患
万花筒	玩具
智利狐鲣	鲣
鳕鱼类	鳕科的鱼
香水月季	蔷薇
血红素	颜料
造林	转换
石英岩	聚合体
温室	更常指大而气派的建筑
十进制数	数
马蹄野豌豆	矮灌木
毡	衣料
色素减退	生理状态
竖直	运动
放射性单位	电磁单位
阳极	集电极
粗壮南方古猿	南猿亚科
急速变化	骚动
服饰品	饰物
碳原子	原子
温室粉虱	粉虱
兵营	军营
压力泵	泵
杂货店	市场
血缘	关系
四十五度角	角度
酒红球盖菇	伞菌
火山玻璃	玻璃
天使学	神学
对立物	对立
白果木	灌木
照相凹版印刷	拓印
桥接电路	电路
权宜婚姻	结婚生活
相互	相互性
白纹伊蚊	蚊子
火山	高山
消防游戏	玩
滤纸	纸
阑尾切除术	切除
蚜科	节肢动物科
石鲈	石鲈
费率	费用
消费	需求
无主珍宝	财富
拱座	支撑
农学	科学
特价商品	购得物
海螂属	软体动物属
烤肉馆	饭馆
凤螺属	软体动物属
污水灌溉	渠
提取	消除
粘液瘤	良性肿瘤
毛车前	车前草
空炸	爆炸
埃及货币单位	货币单位
水肺	呼吸器
长脚蜂属	节肢动物属
首饰	首饰
变量	数量
龙舌兰	龙舌掌
权重	系数
炉衬	衬里
褶边	边缘
鱼鳔槐	灌木
间隔班	班次工作时间
向后转	颠倒
鼠兔	兔形目动物
瑞典克朗	瑞典货币单位
巨石建筑物	纪念碑
孤儿院	医院
物质	物质
物质	部分-整体关系
裂开的状态	负伤
孔雀石	矿质
名片盒	框子
分期付款购买	分期付款购货
食虫虻	双翅目昆虫
蚊子咬	昆虫咬伤
十米	公制长度单位
国际作为辅助语言使用的人工语言	人工语言
捕鸟猎犬	猎狗
中餐馆症候群	综合症
安全气囊	袋子
波佐狗	猎狼犬
作曲家	音乐家
鹿花蕈	鹿花蕈
衰变	核反应
单蕨属	蕨属
钛	金属元素
王国	帝制
骰盅	集装箱
红花黄蓍	矮灌木
谷壳	植物物料
法令	法规
无被害人犯罪	罪行
高温化学	化学方法
尿道炎	泌尿道感染
披针形叶	单叶
重叠	口盖
糖皮质激素	皮质类固醇
降压药	阻滞剂
止呕吐的药	药物
天赋	能力
绵羊状多孔菌	多孔菌
降马	灌木
荞麦蔓	绒毛属植物
权杖	符号
心土或下层土	泥土
季铵化合物	有机化合物
卷柏属	蕨属
加仑	美国液体单位
半身不遂	麻痹症
粗鳍鱼	细长的带状鱼类之总称
不育	生理状态
冠臭鼬	鸡貂
拍卖商	经纪人
凤螺科	软体动物科
棍棒	棍棒
细麻布	衣料
抽出器	仪表
颜色	模样
大巢菜	野豌豆
马里-法郎	法郎
镰刀	机械装置
金耳	黑木耳
沫蝉属	节肢动物属
双簧乐器	簧乐器
鲈鮋	岩鱼
S形	曲线
碘蛋白	蛋白质
自然界	宇宙
橄榄球场	体育设施
橄榄球场	露天体育场
不饱和脂肪酸	脂肪酸
计日工	大捆
交通	集合
会议厅	观众席
红细胞沉降率	率
发病率	发生频率
辐射热测定器	仪表
凹雕艺术	雕刻艺术
颤动	颤抖
小盒子	钱包
发声困难	语言失序
扭曲	褶痕
节铠船蛆属	软体动物属
潮湿	状态
毁坏	改变
配偶	成年人
环线	支路
野蚕丝	天蚕蛾
缓冲保护器	机械装置
疼痛单位	单位
换行	显示
心脏瓣膜病	心脏紊乱
安培小时	电量单位
眼肌瘫痪	麻痹症
罗马英里	长度度量
四冲程发动机	内燃机
紧张性头痛	头部疼痛
睡眠过度	睡眠失调
天蛾科之蛾	衣蛾
增大	改变量级
陆蛤	蛤蜊
急性淋巴细胞白血病	急性白血病
锫	金属元素
整齐	秩序
欧洲兔	兔子
病毒性肺炎	肺炎
病毒性肺炎	病毒感染
鸡眼	茧
绘图纸	纸
拟荆芥藿香	藿香蓟
圣叶樱桃	野生李树
水污染	污染
赤星病	锈菌
前脚	前肢
脚踏板	站台
史前时期	阶段
下义关系	语义关系
海羊齿属	海羊齿属
圣蓟属	海盘车单子叶植物属
注意力缺陷	综合症
家畜腹泻病	动物病
海金沙科	蕨属
手镜	镜子
原版拷贝	创作物
分股	增大
鳃角金龟	鳃角金龟
须松萝	地衣
标准打数	比分
牙鳕	鳕科的鱼
全神贯注	注意力
西班牙椿	桃花心木
蛱蝶科	节肢动物科
萤光素	动物色素
农业综合企业	事业
复合神经病	神经病
驯兽师	首领
还原酶	酶
方钠石	矿质
预付年金	年金
赤铜矿	矿质
马尔他十字	十字架
集体歇斯底里	谵妄
预备好的状态	预备
大教主	主教
板球	球
板球	板球设备
价格竞争	商业关系
腹腔镜	内诊镜
蒙古野驴	中亚野驴
丙种球蛋白病	病理
三月	公历月
扶手	靠臂
动物色素	颜料
周期蝉属	节肢动物属
抽象观念	观念
露营用大锅	锅
野狗	杂种狗
龙牙花	树
申请表	表格
剪纸装饰	艺术品
解决	管理
烟囱	通气管
葛里炸药	黄色炸药
古代人	人类
宽叶菜豆	壳豆
哑	麻痹症
碳酸氢钾	碳酸氢盐
海角樱草	海角樱草
朦胧麻醉	全身麻醉
葡萄膜炎	炎症
皮肤角质层病	皮肤病
最后时刻	结束
补数	算出总数
淋巴结炎	炎症
渗透作用	扩散
敢死队	尽力
肌弛缓	状态
小蝙蝠	蝙蝠
颗粒	微量
送别	离开
蒲包花	花
肉样瘤病	病理
芦苇养殖场	苗床
拉	重量单位
褐腐病	植物病
失语症	脑病
锄头柄	柄
开榫槽	沟
缚牢吊床的绳	绳子
弯路	马路
停泊所	领域
锁子甲	锁子甲
正义	正直
猿或猴子	灵长类的动物
糖衣药丸	药片
冷却系统	冷却方法
迈博姆氏囊肿	皮脂囊肿
甜点盘	碟
花梗	花梗
可口梅	果树
心肌病	心脏紊乱
营养摄取	生物进程
野山羊	羊
贸易逆差问题	困难
灼痛	苦痛
灯笼	灯
犯罪记录	单子
羊皮纸书	羊皮纸
酣睡眠	睡觉时间
百日咳	呼吸疾病
百日咳	传染病
马车	马车
更格卢鼠	囊鼠
不舒服	病痛
地毯拍打器	打的工具
澡盆	容器
存储器存取	运转
物种形成	进化
牙鲆	比目鱼
卡黎皮	树皮
黄鳍金枪鱼	鲔鱼
自助食堂设施	设施
蚕蛾	衣蛾
砂浆托板	黑板
北海狮	海狮
板油	脂肪
野樱	樱桃树
水貂	鼬
霉菌毒素	植物性毒素
荜拨	胡椒藤
中央交换	电话局
空中缆椅	吊椅缆车
简单蛋白质	蛋白质
色盲	生理缺陷
色盲	视觉障碍
丽蝇	绿头苍蝇
黄忍冬	金银花
硝酸甘油	硝酸盐
精神迷乱	神经病
双重薪金	收入
河鲈	鲈形亚目鱼
燃素	物质
边缘鳞毛蕨	鳞毛蕨
地球仪	模拟
上皮瘤	皮肤癌
铁格子	骨架
粉蚧	粉蚧
毛线虫病	侵染
毛线虫病	肌炎
光碟	录制品
加闰日	间隙
碰撞	负伤
多边形	平面图形
麦卡锡主义	猎女巫
密码子	次序
小薄荷属	海盘车单子叶植物属
舞蹈病	一种变性疾病
柔软的羊皮	皮革
发芽	无性生殖
加拿大李	李树
线疫病	枯萎病
分叉	叉形
指天椒	辣角
阿迦	称号
三角柱	角柱
蓝筹股	普通股
甲醇	燃料
甲醇	醇
腺癌	癌
护肘	钢板
短棒	棍棒
黄杨木	木材
活动中止	暂缓
拟石蟹属	节肢动物属
辛苦	尽力
第三者	对立
宗教服装	衣着
铁蒺藜	防御组织
高等程度	等级
神经衰弱	虚脱
椭圆叶	单叶
跗节肉肿	动物病
田鸡	秧鸡之类
土地留置权	留置权
英式橄榄球	足球
刺鲅	鲭
口服避孕药	避孕药
要塞	防御组织
公海自由	自由
虎尾兰麻	龙舌掌
架子	支撑
黄瓜	青菜
耗尽	降低
输卵管妊娠	子宫外妊娠
后桅纵帆	纵帆
疲劳	临时状态
脾脱疽	动物病
白头长脚鹬	黑翅长脚鹬
大麻	管制药物
磷酸钙	磷酸盐
无需用脑的事	项目
伏翼	蝙蝠
法庭	房间
夸脱	美国液体单位
立方英尺	容积单位
指时针	记录器
豆蟹科	节肢动物科
单须飞鱼	飞鱼
流行病	传染病
激励作用	自然过程
缓解	降低
象牙棕榈	棕榈科植物
掌距	长度度量
鸟类羽毛	动物材料
瑞典货币单位	货币单位
甾醇	类固醇
甾醇	醇
林奈花	矮灌木
抗体物质	蛋白质
习惯法	模式
法冠	鸭舌帽
弓术家	能手
生气勃勃的快板	急速小节
林克训练器	飞行模拟装置
羊蹄	足
里那醇	香精油
胎盘形成	新陈代谢
同谋	帮手
绿泥石	矿质
性的冲动	性冲动
排气罩装饰物	装饰品
比利时牧羊狗	比利时牧羊犬
搅乳器	容器
载体	化学药品
膀胱突出症	阴道脱垂
玉米穗壳	荚
鳁鲸	鳁鲸科动物
钟形帐篷	帐篷
年度	阶段
期限	阶段
燃烧	燃烧
阴虱	虱子
原菌丝体	担子
地被	草木
地中海果蝇	果蝇
同化作用	社会进程
焚化	燃烧
煤肺病	肺尘症
联结物	黏合剂
印花布	衣料
麦基诺舟	船
律师	律师
斑疹热	立克次氏体病
极限	估计量
票箱	箱子
甘特测链	测链
钙铁榴石	石榴石
水黾科	节肢动物科
假晶滑石	滑石
航空术	物理学
被恢复的状态	改进
受精药	麻醉药
闭合环路	控制系统
鱼雷	爆炸装置
欧洲野马	野马
消除滋扰	减轻
视蛋白	蛋白质
公共休息室	起居室
中齿海鲷	真鲷
放射性物质	物资
钱	通货
爱尔兰谍犬	谍犬
网球中的零分	比分
雷窝子	伞菌
健忘	入神
无水钾镁矾	矿质
花链子	鲜花设计
门票对号奖	奖金
硬币	货币
草地鼠尾草	鼠尾草属植物
遮眼蒙布	布质蒙皮
鲍威刀	刀子
水獭	水獭
时代精神	风气
裁定	评判
集材小机车	火车头
涵洞	排水管
收敛剂	药物
郊狼	狼
带鞘小刀	刀子
灰鼠呢	衣料
桫椤属	蕨属
纤维腺瘤	腺瘤
租物	资产
眼斑拟石首鱼	石首鱼
水煤气	燃料
水煤气	瓦斯
借款成本	花费
亚欧活血丹	藤本植物
热情	热情
发情	生理状态
输尿管炎	炎症
照相泛光灯	光源
模棱两可的表达	措辞
声频放大器	放大器
焦煤	燃料
抚养费	赡养费
假丝酵母属	菌类
商业减免税	税收扣减
蝴蝶	鳞翅类的
效率	比例
藤杖	藤杖
普通大羚羊	大角斑羚
鼻梁架	链环
杏子酱	酱汁
胎儿窘迫	反常
英雄	首领
蔓虎刺	藤本植物
毛蕊花属	海盘车单子叶植物属
场强单位	电磁单位
棉绒布	衣料
细胞光度计	曝光表
开销	费用
海雀	海鸟
珍宝	艺术品
偏头痛	头部疼痛
蟋蟀科	节肢动物科
非现实	不存在
舒适	舒适
笛鲷	鲷
莎木	西谷椰子
防腐法	生物进程
消防斧	斧子
电视艺术与科学学会	研究院
人类起源	进化
固定费用	费用
善意收购	收购
桃蚜	蚜虫
新娘	参加者
枝条	树叉
狭窄	病理
粉碎	粉碎
并发症	症
孔脱管	仪表
四月中旬	阶段
流明	光通量单位
硼	化学元素
飞机	飞艇
褐蛉	草蛉
阿尔茨海默病	阿尔茨海默病
草药	药物
